"item","detail"
"http://www.wikidata.org/entity/Q1769484","Papal States"
"http://www.wikidata.org/entity/Q877923","Germany"
"http://www.wikidata.org/entity/Q980890","http://www.wikidata.org/.well-known/genid/19d7eac5e8e61f7f2d5c07b018252792"
"http://www.wikidata.org/entity/Q1040950","Germany"
"http://www.wikidata.org/entity/Q1041108","Germany"
"http://www.wikidata.org/entity/Q937911","Polish–Lithuanian Commonwealth"
"http://www.wikidata.org/entity/Q1082318","Germany"
"http://www.wikidata.org/entity/Q1282804","Germany"
"http://www.wikidata.org/entity/Q1288454","Brazil"
"http://www.wikidata.org/entity/Q935877","Kingdom of Italy"
"http://www.wikidata.org/entity/Q938424","Hungary"
"http://www.wikidata.org/entity/Q1328382","Germany"
"http://www.wikidata.org/entity/Q1288359","Cuba"
"http://www.wikidata.org/entity/Q1241597","Austria"
"http://www.wikidata.org/entity/Q1386877","Germany"
"http://www.wikidata.org/entity/Q1253953","Austria"
"http://www.wikidata.org/entity/Q1273998","Australia"
"http://www.wikidata.org/entity/Q1403424","Germany"
"http://www.wikidata.org/entity/Q1284772","Australia"
"http://www.wikidata.org/entity/Q1061864","Italy"
"http://www.wikidata.org/entity/Q1460214","Germany"
"http://www.wikidata.org/entity/Q1461580","Germany"
"http://www.wikidata.org/entity/Q874868","Netherlands"
"http://www.wikidata.org/entity/Q1141251","Kingdom of Italy"
"http://www.wikidata.org/entity/Q1504630","Germany"
"http://www.wikidata.org/entity/Q1337730","Switzerland"
"http://www.wikidata.org/entity/Q918268","France"
"http://www.wikidata.org/entity/Q949492","Netherlands"
"http://www.wikidata.org/entity/Q959236","Netherlands"
"http://www.wikidata.org/entity/Q1581560","Germany"
"http://www.wikidata.org/entity/Q946487","France"
"http://www.wikidata.org/entity/Q1449653","Austria"
"http://www.wikidata.org/entity/Q949700","France"
"http://www.wikidata.org/entity/Q956823","France"
"http://www.wikidata.org/entity/Q967445","France"
"http://www.wikidata.org/entity/Q970806","France"
"http://www.wikidata.org/entity/Q974735","France"
"http://www.wikidata.org/entity/Q1063339","France"
"http://www.wikidata.org/entity/Q1065775","France"
"http://www.wikidata.org/entity/Q1079125","France"
"http://www.wikidata.org/entity/Q1393359","Spain"
"http://www.wikidata.org/entity/Q1397817","Italy"
"http://www.wikidata.org/entity/Q1288135","German Reich"
"http://www.wikidata.org/entity/Q1130091","France"
"http://www.wikidata.org/entity/Q1347434","Netherlands"
"http://www.wikidata.org/entity/Q1351444","Netherlands"
"http://www.wikidata.org/entity/Q1354027","France"
"http://www.wikidata.org/entity/Q1409019","France"
"http://www.wikidata.org/entity/Q967163","Canada"
"http://www.wikidata.org/entity/Q1479447","France"
"http://www.wikidata.org/entity/Q1479490","France"
"http://www.wikidata.org/entity/Q1489306","France"
"http://www.wikidata.org/entity/Q1494309","France"
"http://www.wikidata.org/entity/Q1553935","France"
"http://www.wikidata.org/entity/Q1608030","France"
"http://www.wikidata.org/entity/Q1644600","France"
"http://www.wikidata.org/entity/Q937911","Russian Empire"
"http://www.wikidata.org/entity/Q1209700","United Kingdom"
"http://www.wikidata.org/entity/Q1273122","United Kingdom"
"http://www.wikidata.org/entity/Q1476596","Great Britain"
"http://www.wikidata.org/entity/Q1616131","Great Britain"
"http://www.wikidata.org/entity/Q949700","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q1042892","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q1308730","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q1476596","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q1500370","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q1616131","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q972080","United States of America"
"http://www.wikidata.org/entity/Q978526","United States of America"
"http://www.wikidata.org/entity/Q979236","United States of America"
"http://www.wikidata.org/entity/Q982284","United States of America"
"http://www.wikidata.org/entity/Q1008673","United States of America"
"http://www.wikidata.org/entity/Q1185478","United States of America"
"http://www.wikidata.org/entity/Q1209700","United States of America"
"http://www.wikidata.org/entity/Q1254856","United States of America"
"http://www.wikidata.org/entity/Q1263693","United States of America"
"http://www.wikidata.org/entity/Q1288359","United States of America"
"http://www.wikidata.org/entity/Q1293014","United States of America"
"http://www.wikidata.org/entity/Q1355414","United States of America"
"http://www.wikidata.org/entity/Q1378807","United States of America"
"http://www.wikidata.org/entity/Q1390942","United States of America"
"http://www.wikidata.org/entity/Q1425302","United States of America"
"http://www.wikidata.org/entity/Q1253953","Cisleithania"
"http://www.wikidata.org/entity/Q1063339","Kingdom of France"
"http://www.wikidata.org/entity/Q1066580","Kingdom of France"
"http://www.wikidata.org/entity/Q1319924","Republic of Siena"
"http://www.wikidata.org/entity/Q1040802","Kingdom of Prussia"
"http://www.wikidata.org/entity/Q918859","Republic of Venice"
"http://www.wikidata.org/entity/Q927350","Republic of Venice"
"http://www.wikidata.org/entity/Q954504","Republic of Venice"
"http://www.wikidata.org/entity/Q1042892","Kingdom of Ireland"
"http://www.wikidata.org/entity/Q1558986","Austrian Empire"
"http://www.wikidata.org/entity/Q1247148","Habsburg Netherlands"
"http://www.wikidata.org/entity/Q1355408","Habsburg Netherlands"
"http://www.wikidata.org/entity/Q1339913","Papal States"
"http://www.wikidata.org/entity/Q1491011","Papal States"
"http://www.wikidata.org/entity/Q2588699","Germany"
"http://www.wikidata.org/entity/Q2591295","Israel"
"http://www.wikidata.org/entity/Q2591295","Romania"
"http://www.wikidata.org/entity/Q2646392","Mexico"
"http://www.wikidata.org/entity/Q2625832","Grand Duchy of Tuscany"
"http://www.wikidata.org/entity/Q2638519","Switzerland"
"http://www.wikidata.org/entity/Q2972187","Belgium"
"http://www.wikidata.org/entity/Q2362791","France"
"http://www.wikidata.org/entity/Q2384611","France"
"http://www.wikidata.org/entity/Q2408093","France"
"http://www.wikidata.org/entity/Q2602123","German Reich"
"http://www.wikidata.org/entity/Q3087674","Germany"
"http://www.wikidata.org/entity/Q2476960","France"
"http://www.wikidata.org/entity/Q2929877","Switzerland"
"http://www.wikidata.org/entity/Q2835395","Italy"
"http://www.wikidata.org/entity/Q2835395","Kingdom of Italy"
"http://www.wikidata.org/entity/Q2555178","France"
"http://www.wikidata.org/entity/Q2857366","Italy"
"http://www.wikidata.org/entity/Q2579811","France"
