"item","itemLabel","itemDescription"
"http://www.wikidata.org/entity/Q954504","Moretto da Brescia","Italian Renaissance painter (c.1498-1554)"
"http://www.wikidata.org/entity/Q954917","Desiderio da Settignano","Italian artist (1430-1464)"
"http://www.wikidata.org/entity/Q956823","Robert Demachy","French photographer (1859-1936)"
"http://www.wikidata.org/entity/Q959236","Frans van Mieris the Elder","Dutch painter (1635–1681)"
"http://www.wikidata.org/entity/Q967163","Edward Burtynsky","Canadian photographer"
"http://www.wikidata.org/entity/Q967445","Jean Bullant","French architect and sculptor"
"http://www.wikidata.org/entity/Q970806","Adrien Dauzats","French painter (1804-1868)"
"http://www.wikidata.org/entity/Q979236","Alec Soth","American photographer"
"http://www.wikidata.org/entity/Q972080","William Gropper","American artist (1897-1977)"
"http://www.wikidata.org/entity/Q974735","François-Joseph Luigi Loir","French lithographer and painter (1845-1916)"
"http://www.wikidata.org/entity/Q978526","John F. Peto","American artist (1854-1907)"
"http://www.wikidata.org/entity/Q980890","Rupert of Deutz","abbot, theologian, exegete and writer on liturgical and musical topics"
"http://www.wikidata.org/entity/Q982284","John Frederick Kensett","American artist (1816-1872)"
"http://www.wikidata.org/entity/Q1008673","Paul Dougherty","American artist (1877-1947)"
"http://www.wikidata.org/entity/Q1010700","Giovanni della Robbia","Italian sculptor (1469–1529)"
"http://www.wikidata.org/entity/Q1040802","Carl Theodor Reiffenstein","German painter (1820-1893)"
"http://www.wikidata.org/entity/Q1040950","Carl Wagner","German painter and representatives of the romantic landscape painting (1796-1867)"
"http://www.wikidata.org/entity/Q1041108","Carl Wilhelm Kolbe","painter (1759-1835)"
"http://www.wikidata.org/entity/Q1042892","James Barry","Irish painter (1741–1806)"
"http://www.wikidata.org/entity/Q1061864","Agostino Ciampelli","Italian painter (1565-1630)"
"http://www.wikidata.org/entity/Q1063339","Charles Alexandre Lesueur","French naturalist (1778-1846)"
"http://www.wikidata.org/entity/Q1065775","Charles Philipon","French journalist and artist (1806-1862)"
"http://www.wikidata.org/entity/Q1066580","Charles de La Fosse","French painter (1636-1716)"
"http://www.wikidata.org/entity/Q1082318","Christian Wilhelm Ketterlinus","German copperplate engraver"
"http://www.wikidata.org/entity/Q1079125","Christian Bérard","French artist, fashion illustrator, and designer (1902-1949)"
"http://www.wikidata.org/entity/Q1083096","Anton Domenico Gabbiani","Italian painter (1652-1726)"
"http://www.wikidata.org/entity/Q1083104","Alfonso Parigi","Italian architect and scenographer"
"http://www.wikidata.org/entity/Q1107117","Raffaellino da Reggio","Italian painter (1550-1578)"
"http://www.wikidata.org/entity/Q1119290","Adriano Fiorentino","Italian medallist and sculptor"
"http://www.wikidata.org/entity/Q1425302","John Wesley","American painter (1928–2022)"
"http://www.wikidata.org/entity/Q1130091","Ennemond Alexandre Petitot","French architect"
"http://www.wikidata.org/entity/Q1141251","Mosè Bianchi","Italian painter (1840-1904)"
